graph name;iteration number;iteration type;runtime;k-augs searched;#k-augs found;#k-augs no conflicts;weight added;weight removed;weight improvement;old matching weight;new matching weight
sd2010.mtx;61;F;0.006680;-1;-1;-1;446643.000000;406413.000000;40230.000000;6325420395.000000;6325460625.000000
sd2010.mtx;62;S;0.026277;1;11;4;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;63;F;0.006402;-1;-1;-1;256995.000000;0.000000;256995.000000;6325460625.000000;6325717620.000000
sd2010.mtx;64;S;0.283757;2;6;2;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;65;F;0.007048;-1;-1;-1;247765.000000;233549.000000;14216.000000;6325717620.000000;6325731836.000000
sd2010.mtx;66;S;0.431169;3;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;67;F;0.006577;-1;-1;-1;26572.000000;25332.000000;1240.000000;6325731836.000000;6325733076.000000
fl2010.mtx;0;S;0.370608;1;484481;71018;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
fl2010.mtx;1;F;0.042107;-1;-1;-1;6459688582.000000;0.000000;6459688582.000000;0.000000;6459688582.000000
fl2010.mtx;2;S;0.336846;1;320540;64662;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;3;F;0.065131;-1;-1;-1;2932503309.000000;0.000000;2932503309.000000;6459688582.000000;9392191891.000000
fl2010.mtx;4;S;0.297801;1;157182;39157;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;5;F;0.063271;-1;-1;-1;1145298373.000000;0.000000;1145298373.000000;9392191891.000000;10537490264.000000
fl2010.mtx;6;S;0.225596;1;56935;16282;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;7;F;0.055498;-1;-1;-1;325831567.000000;0.000000;325831567.000000;10537490264.000000;10863321831.000000
fl2010.mtx;8;S;0.157139;1;16295;4987;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;9;F;0.054243;-1;-1;-1;77241461.000000;0.000000;77241461.000000;10863321831.000000;10940563292.000000
fl2010.mtx;10;S;0.162904;1;4035;1279;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;11;F;0.045836;-1;-1;-1;16533256.000000;0.000000;16533256.000000;10940563292.000000;10957096548.000000
